Name,Position,MoP,Goal,Assist,Key Pass,Touch,Def Action,Tackle 4A-6E,Dribble 4A-6E,Pass Completion%
Adam Ahmad Najem,Attacking 10,2218,0.04,0.04,0.57,48.57,4.71,0.28,0.04,90.38
Alexis Nahuel Messidoro,Attacking 10,2849,0.19,0.28,1.77,64.85,5.62,1.04,1.07,78.05
Arkhan Fikri,Attacking 10,843,0.0,0.0,1.28,48.15,2.56,0.21,0.64,82.65
Beckham Putra Nugraha,Attacking 10,1365,0.07,0.2,0.99,43.52,1.85,0.33,0.13,80.42
Bruno De Araujo Dybal,Attacking 10,2182,0.12,0.21,1.81,51.85,3.55,0.29,0.04,79.61
Dony Tri Pamungkas,Attacking 10,504,0.0,0.36,1.43,36.07,3.21,0.18,1.25,76.85
Eber Henrique Ferreira De Bessa,Attacking 10,2453,0.22,0.37,2.16,31.74,2.75,0.55,0.62,62.99
Higor Felipe Vidal,Attacking 10,869,0.0,0.41,2.07,42.77,3.11,0.93,0.72,73.56
Jonathan Eduardo Cantillana Zorilla,Attacking 10,1668,0.11,0.11,0.59,45.54,2.37,0.11,0.05,84.67
Jonathan Ezequiel Bustos,Attacking 10,2373,0.15,0.3,1.4,55.22,1.93,0.34,0.53,81.31
Majed Sobhi Osman,Attacking 10,2647,0.2,0.1,1.09,40.73,1.84,0.37,1.02,81.55
Makan Konate,Attacking 10,2836,0.25,0.1,1.46,37.35,2.6,0.44,0.25,77.81
Marselino Ferdinan,Attacking 10,559,0.48,0.32,1.45,39.77,3.22,1.29,0.64,79.07
Mitsuru Maruoka,Attacking 10,3060,0.21,0.12,0.91,52.47,3.71,0.35,0.18,86.2
Muhammad Andy Harjito,Attacking 10,632,0.28,0.14,0.57,32.04,3.42,0.43,0.57,78.05
Norberto Ezequiel Vidal,Attacking 10,2546,0.35,0.18,1.06,36.45,2.65,0.49,0.28,71.1
Rangga Muslim Perkasa,Attacking 10,2477,0.04,0.04,1.2,34.92,1.96,0.33,0.11,79.1
Renan Da Silva,Attacking 10,2618,0.14,0.31,1.58,32.35,1.0,0.17,0.69,66.19
Ricky Kambuaya,Attacking 10,1090,0.0,0.25,0.74,32.2,2.81,0.33,0.33,81.63
Roni Sugeng Ariyanto,Attacking 10,2000,0.0,0.18,0.99,39.06,2.56,0.14,0.14,80.81
Wahyu Subo Seto,Attacking 10,1440,0.06,0.19,0.69,52.94,4.81,0.5,0.19,88.19
