Name,Position,MoP,Goal,Assist,Key Pass,Shots Total,Cross Total,Dribble Total,Def Action 4A-6E,Defence,Attack
Abdulla Yusuf Abdulrahim Mohamed Helal,Forward,1244,0.36,0.07,0.51,4.77,0.87,0.43,0.65,shape,
Abel Issa Camara,Forward,1510,0.18,0.0,0.66,3.28,0.54,0.48,0.48,shape,
Alex Martins Ferreira,Forward,1147,0.86,0.0,1.1,3.22,0.47,0.24,0.63,shape,finisher
Carlos Manuel dos Santos Fortes,Forward,1129,0.24,0.24,0.96,3.03,0.56,0.48,0.48,shape,
Dedik Setiawan,Forward,1901,0.38,0.05,0.66,2.27,1.04,0.52,0.43,shape,roamer
Dendy Sulistyawan,Forward,1732,0.47,0.21,0.73,2.65,1.97,0.62,0.73,shape,roamer
Everton Nascimento de Mendonça,Forward,2122,0.21,0.13,1.19,2.29,0.47,0.85,0.64,shape,creator
Gustavo Henrique Barbosa Freire,Forward,2775,0.42,0.03,0.88,1.91,0.49,0.45,0.45,shape,
Hanis Sagara Putra,Forward,631,0.0,0.29,0.71,3.99,0.43,0.43,0.43,shape,
Joanderson de Jesus Assis,Forward,777,0.0,0.0,0.58,2.2,0.58,0.93,0.93,shape,creator
Karim Rossi,Forward,2250,0.32,0.16,0.92,3.44,0.4,0.24,0.44,shape,
Matheus Antonio Souza dos Santos,Forward,2643,0.68,0.1,0.85,3.51,0.44,0.78,1.19,presser,finisher
Muhammad Rafli,Forward,866,0.0,0.1,0.83,2.29,1.25,0.62,0.62,shape,roamer
Paulo Victor Costa Soares,Forward,1152,0.47,0.23,0.39,2.97,0.16,0.94,0.39,shape,
Pedro Henrique Cortes Oliveira Góis,Forward,1644,0.49,0.11,0.22,2.74,0.49,0.44,0.82,shape,
Ramiro Ezequiel Fergonzi,Forward,2857,0.22,0.22,1.32,2.58,2.11,0.66,0.85,shape,roamer
Riki Dwi Saputro,Forward,949,0.38,0.19,0.47,1.8,0.66,0.76,0.85,shape,
Samsul Arif Munip,Forward,1476,0.3,0.12,1.16,2.26,1.52,0.79,0.79,shape,roamer
Septian Satria Bagaskara,Forward,1537,0.23,0.0,0.29,2.46,0.06,0.12,0.47,shape,
Silvio Rodrigues Pereira Junior,Forward,2243,0.28,0.16,0.52,3.45,0.96,0.84,0.52,shape,creator
Wildan Ramdhani Nugraha,Forward,1354,0.47,0.07,1.06,2.26,0.53,0.33,0.66,shape,
